question,option_a,option_b,option_c,option_d,correct_answer,explanation
Which statement best describes shame?,A specific concern about behavior,A global verdict that the self is defective or unworthy,A practical repair plan,A neutral observation,B,Shame targets identity rather than describing one behavior.
Which statement is behavior-specific guilt or regret?,I am a failure,I missed the deadline and affected the client,No one can respect me,I ruin everything,B,The statement names an action and impact without defining the whole self.
What is the Shame-to-Responsibility Map sequence?,"Event, story, response, impact, responsibility","Diagnosis, treatment, cure, score, discharge","Mistake, punishment, secrecy, perfection, approval","Feeling, blame, demand, reward, certainty",A,The map moves from observable reality to a responsible next action.
Why explore the inner critic's function?,To obey it,"To understand its promised protection, effect, cost, and alternatives",To diagnose a disorder,To eliminate accountability,B,Function-based curiosity supports choice without approving self-attack.
Which response supports compassionate accountability?,It did not matter,You are terrible,"The impact was real, and we can identify repair without defining your whole worth",Forget it immediately,C,Dignity and responsibility remain together.
Self-compassion means:,Excusing every behavior,Responding without contempt while remaining connected to responsibility,Avoiding feedback,Demanding reassurance,B,Compassion creates enough steadiness for honest accountability and action.
An accountable apology should:,Demand forgiveness,"Name behavior and impact, own responsibility, and offer repair",Explain intention until impact disappears,Use shame to prove sincerity,B,Repair does not control the other person's response.
Why can repeated reassurance become unhelpful?,Support is always wrong,It may soothe briefly while increasing dependence on external certainty,Clients should never ask questions,It proves the coach is unkind,B,Self-validation and evidence can reduce a reassurance cycle.
How should a coach handle another person's disappointment?,Erase it,"Help the client hear useful impact, preserve dignity, and choose responsibility",Accept every insult,Control forgiveness,B,Accountability includes impact; dignity includes boundaries.
What is a healthy coach response to projected shame and insults?,Accept them without limit,"Name the behavior, set a respectful boundary, and preserve choices",Retaliate,Diagnose the client,B,Compassion needs a boundary around harmful behavior.
Which concern clearly requires urgent escalation beyond ordinary coaching?,A missed deadline,A specific self-harm plan,Embarrassment after a presentation,A request for feedback,B,Immediate safety concerns require emergency procedures and qualified support.
What is the lesson's primary goal?,Remove all uncomfortable emotion,"Support accurate responsibility, dignity, repair, choice, and appropriate referral",Prove the client is good,Find a hidden diagnosis,B,The lesson combines accountability with compassion and scope.
