scene,title,visual_type,source,sha256
1,"Shame, Guilt, and the Inner Critic",unique cinematic photograph,scene_01.png,f29c76a17ae74d85d087ca5188ae76d6ee2c783a3caa095bcd211643ef22d479
2,Your learning journey,unique cinematic photograph,scene_02.png,59d855ba57be944c87c0709326360f7a628fcd9b7f21ba5fee0a90de89641d43
3,Shame targets identity,unique cinematic photograph,scene_03.png,3ed7ecc5354fcf2a4c88eb476ec405552dba7450459f1ceb71997aa7aa243ee5
4,Guilt focuses on behavior and impact,unique cinematic photograph,scene_04.png,6b30690920742a6934839ce4b815abd68d6db005c2be24b11b8e481f95293de3
5,Checkpoint 1 · Identity or behavior?,unique cinematic photograph,scene_05.png,17e0c0c7f592ad39e54cb0634f8d60a3025076e54d74e54880cbb0cb9a536146
6,"Embarrassment, regret, and remorse are distinct",unique cinematic photograph,scene_06.png,e1f96fdd615ff863d67d0ca1d65c144ad9b77236ae7028553d6212ded2a83395
7,Use the Shame-to-Responsibility Map,unique cinematic photograph,scene_07.png,2222c4503228e0108ecc598e8d53da82e0f46c0b643596719678f499a1fa941c
8,"The inner critic is a strategy, not a trusted narrator",unique cinematic photograph,scene_08.png,546592cb96fcba4462817051339578f2db0a24b769a9416b4e78238d5a5f7623
9,Recognize common critic voices,unique cinematic photograph,scene_09.png,4b5f08c833b70757fe2a92b2388a72ecf0bbca1757f57d669c76f22552807c51
10,Listen for absolute language,unique cinematic photograph,scene_10.png,0b4ed9b9c7aeed01c80bc48e0daa41b28369600e7709c811825f4ef54959b02a
11,Checkpoint 2 · Meet the critic with curiosity,unique cinematic photograph,scene_11.png,527fca454d25d2a3b0a655ae18c3c23b7e6122314da492595df77ed0b4c589fd
12,Triggers activate the critic quickly,unique cinematic photograph,scene_12.png,2d211e6743215dba004e9df2815f854524ff60ab0327577f4288c6a7a11a1a7e
13,Shame changes behavior,unique cinematic photograph,scene_13.png,361ee8c4507ad40bca6baf55a07f8f8489b85b75ec3da3ee43316d3528f83649
