scene,title,visual_type,source,sha256
1,Vulnerability and Emotional Armor,unique cinematic photograph,scene_01.png,d65af8b81e2576c1aff3355ab9fb298c5cf070dd82f73f0c2ed9179507d4eba9
2,Your learning journey,unique cinematic photograph,scene_02.png,7d627f51d44b979d5e31330417f35932affff5c7115c9d1d444a7a4edb972fc8
3,Vulnerability is relevant honesty under uncertainty,unique cinematic photograph,scene_03.png,255c0b67ac48c38b09bbacf5851a43c78cbad5be7ea4b04e54324eda08728fd2
4,Vulnerability is not maximum disclosure,unique cinematic photograph,scene_04.png,3a2e7ec3d99e0f43ef18c07f16aee1ead68811889ae1157d806eb10a4f0c8d72
5,Checkpoint 1 · Courage or oversharing?,unique cinematic photograph,scene_05.png,35aaa46f634a6ae76ddd9c68bdde8323716538b71e3a958cbb7a3351a3ff9e25
6,"Armor is a strategy, not an identity",unique cinematic photograph,scene_06.png,02d042a1f489217373214077a4dccface40ac67a40f09a94c25a1134f10a8fc3
7,Perfectionism can function as armor,unique cinematic photograph,scene_07.png,7b19de85d6e0cbea035239a9dd040dc1c3600311ce6d31f2f25be1db7c79d75b
8,Control can function as armor,unique cinematic photograph,scene_08.png,12e947aa1b8717ffa905c133614a0e1d57e180502aa2fe142c9ad1b694b69d3b
9,Detachment can look like calm,unique cinematic photograph,scene_09.png,23aaf8cc69b3a513bbb1329918fa928860588110d696bec35359cf0b2129663e
10,"Checkpoint 2 · Describe, do not label",unique cinematic photograph,scene_10.png,1bd7eff3954979513fb3c53a8ae63e3dec5b52532b711aa832ac3140d9b8a222
11,Overfunctioning can hide need,unique cinematic photograph,scene_11.png,abf8accdeea830ad65112e0c8c3ed3ec503715d9c0bf99e16b75ecba736a1816
12,"Humor, cynicism, and preemptive judgment",unique cinematic photograph,scene_12.png,4453ac1839a87141145893c722f24fc83841fa6097f4d3ec42ff3875b0cfae82
13,Armor has a benefit-cost exchange,unique cinematic photograph,scene_13.png,8bf93e79993076d8a74d5693617119757d65475b3bbf4f6ebabfe6a2ae7ec4d3
14,The Armor Map,unique cinematic photograph,scene_14.png,0b106b5eb19d784a5afdaca1e7266f54f566178a4c3b5b2d3976745a17e8f9ab
15,Checkpoint 3 · Honor function,unique cinematic photograph,scene_15.png,7a9c10d58e1120f1bcda032b31e80e422b9698aba1153a1532a2ff39247afd61
16,Trust is assessed through behavior,unique cinematic photograph,scene_16.png,05c5047c4b16dadd836182ba3a7a42085f57e17ea48f793f0deaf9a31431c25e
17,Use the Trust and Readiness Check,unique cinematic photograph,scene_17.png,3a66f971a57ddc1396b7fcb8340ce9e822989331d2780ac34545c27b3b810d77
18,Boundaries can make vulnerability safer,unique cinematic photograph,scene_18.png,d6e934832e92e3dc89830b1e3065f0443a302f190a3d0dec7fbc3fced2a42ba6
19,Consent and pace belong inside coaching,unique cinematic photograph,scene_19.png,9ef14f514fd0dab3d7246390d24654567b4d3a423e37f3cb4f4528ab668cb559
20,Checkpoint 4 · Pace and consent,unique cinematic photograph,scene_20.png,9449fb74216f50991b95d46767018a61fa5833aec6e4163abc081aed3a62c333
21,Self-validation reduces the demand for reassurance,unique cinematic photograph,scene_21.png,f396a296640348f2893fcd08afe37739e447e0251933957fd7cd6f13e450e1b5
22,Build a courage ladder,unique cinematic photograph,scene_22.png,a27219000b21934260552a5d2c325fff9002fb4be64c62b83ce4ea45cca97c51
23,Prepare language without scripting control,unique cinematic photograph,scene_23.png,a9c504bc88a6e7287a97178c41b5734b7e8384d4ab2e36dbd22e35ae731fdd0b
24,Case study · Meet Renee,unique cinematic photograph,scene_24.png,a3c3a15d3b7dab74b443c5dadf4ff357d7665f7f8c9f09294cd14d08819ea053
25,Renee's Armor Map,unique cinematic photograph,scene_25.png,1259f3c2a9931b68b0ce45719c22b74502366c59a94a46252ce15ce53e080ab1
26,Assess trust before encouraging openness,unique cinematic photograph,scene_26.png,2455dbc5fcd48d150197d6ae94eb0c1db40b893fc6aa3f79ea80abbfddf68df0
27,Checkpoint 5 · Coach Renee,unique cinematic photograph,scene_27.png,5bf00f297e0d0fbd7b731ada8238d5489609d6730a7d88e998f2e53c035957f4
28,Renee's courage experiment,unique cinematic photograph,scene_28.png,882f41f2712d2ef1e768abf3e06f6bdc6e65d8d41b247454dbb8199ffb727d83
29,Responding to an imperfect answer,unique cinematic photograph,scene_29.png,72118cda08b75b95abfddb6e9639a48741173d00478c488fb006512d436ed4d8
30,Repair after protective behavior,unique cinematic photograph,scene_30.png,b4c33605195b2d12623269b79300ac364561a08bdcd7ecb2c690071858726946
31,Coach without rescuing or praising exposure,unique cinematic photograph,scene_31.png,dfbcb61cff38dfe975295aaffdedd9170942e5597c863bf820a3ea86bfc4e72a
32,When vulnerability language can become unsafe,unique cinematic photograph,scene_32.png,962fb898eb710e90b4d8385b6e5fab4fd689f2cd12377055bb41bef37ff5ec29
33,Checkpoint 6 · Scope and safety,unique cinematic photograph,scene_33.png,33ee979d3cda093a0f517dc250b33f893d404911d6348f096cf2939f4be33336
34,Scope boundary · coaching is not trauma treatment,unique cinematic photograph,scene_34.png,512c8be9811e4f9fa236ee0929e9807d7783f7ed220442090a6e9b2d2b85a899
35,A seven-question courage conversation,unique cinematic photograph,scene_35.png,7f35967ca30b7621a7abe835e5833f244869648d4af2e945d9e17ae805e83541
