question,option_a,option_b,option_c,option_d,correct_answer,explanation
Self-compassion includes:,"Awareness, kindness, common humanity, and responsibility","Denial, praise, certainty, and speed",Pity and permission,Avoidance of impact,A,All four elements help compassion remain truthful and useful.
Why begin recovery with facts?,To remove emotion,To separate observable reality from vague catastrophe and prediction,To prove the client is wrong,To diagnose distress,B,Specific facts support accurate needs and actions.
What is the Recovery Sequence?,"Pause, orient, support, act, review","React, fix, hide, repeat, praise","Diagnose, treat, cure, discharge, score","Deny, reframe, rush, work, forget",A,The sequence supports proportionate action and learning.
A minimum viable day is:,A clinical treatment plan,A temporary coaching tool for protecting essentials during manageable stress,Permission to abandon every obligation,A guarantee of recovery,B,It simplifies nonclinical planning while referral remains essential for serious impairment.
A support map should identify:,One person who does everything,"Person, role, request, and boundary",Only the coach,A guaranteed rescuer,B,"Support works best when matched to role, trust, need, and consent."
The Repair Path is:,"Acknowledge, own, offer, change, release control","Explain, persuade, demand, repeat, win","Apologize, suffer, obtain forgiveness, forget, celebrate","Diagnose, treat, cure, score, discharge",A,Repair combines ownership and change without controlling forgiveness.
A sincere apology should primarily:,Make the harmed person reassure the client,"Name behavior and impact, express regret, and offer repair",Focus on good intention,Guarantee restored trust,B,The apology carries responsibility rather than transferring emotional labor.
Trust is rebuilt through:,One dramatic promise,"Repeated evidence of reliability, honesty, boundaries, and repair",Pressure for forgiveness,The coach's approval,B,Trust develops through behavior over time.
What best demonstrates resilience?,Constant positivity,"Honest adaptation, support, learning, and renewed choice",Never needing help,Repeating the same plan,B,Resilience is flexible recovery rather than invulnerability.
The coach should avoid becoming:,A structured partner,The client's recovery manager or crisis monitor,A source of reflective questions,A boundary-aware professional,B,Dependency and out-of-scope monitoring undermine ethical coaching.
Which concern requires referral beyond ordinary coaching?,A disappointing launch,Self-harm thoughts and inability to function,A request to revise a goal,Embarrassment after feedback,B,Serious safety and impairment concerns require qualified support.
The primary aim of Lesson 8 is:,Erase discomfort,"Integrate compassion, repair, support, adaptation, and responsible scope",Guarantee reconciliation,Turn every setback into gratitude,B,The lesson supports honest recovery without minimizing pain or exceeding coaching scope.
