question,option_a,option_b,option_c,option_d,correct_answer,explanation
A value is best described as:,A completed outcome,A quality that guides choices,A personality diagnosis,A rule everyone must follow,B,Values are qualities of living that can guide many different goals and decisions.
Which statement is a goal rather than a value?,Courage,Earn a promotion by December,Integrity,Connection,B,The promotion is a specific outcome; the way it is pursued may express values.
What does the Values Evidence Test examine?,"Word, behavior, cost, and current choice","Diagnosis, cause, treatment, cure","Role, title, salary, status","Approval, certainty, comfort, speed",A,The test translates an admired word into observable evidence and an owned decision.
"When values compete, the coach should:",Declare the more moral value,"Help the client examine context, cost, and priority",Avoid the subject,Choose the safest-looking option,B,"The coach holds the tension and supports a client-owned, context-aware choice."
What is the purpose of an Identity Constellation?,Find one permanent label,"Map the many roles, values, strengths, interests, relationships, and hopes that form a whole person",Diagnose identity problems,Remove responsibilities,B,The constellation widens identity beyond any single role or title.
The Should Audit helps a client:,Reject every tradition,"Choose, revise, or release an expectation consciously",Blame family,Avoid consequences,B,"It examines source, benefit, cost, and present ownership without prescribing rebellion."
An alignment gap is:,Evidence that a client is a hypocrite,The distance between a stated value and repeated behavior,A diagnosis,A reason to abandon the value,B,The gap is information that can guide accountability and repair.
Personal truth in coaching includes:,Feeling plus immediate action,Honest self-knowledge plus responsibility,Certainty that others are wrong,A promise to disclose everything,B,"Personal truth is tested with facts, values, consequences, commitments, and responsibility."
Which best defines a boundary?,A demand controlling another person,What the client will do to protect a limit,Any personal preference,A punishment,B,A boundary governs the client's own participation and follow-through.
Self-validation means:,Every interpretation is accurate,Feelings and needs can be understandable while the story remains open to evidence,The client needs no feedback,Other people must agree,B,Validation steadies the client without turning an assumption into fact.
When should ordinary identity coaching pause?,Whenever a client changes careers,"When severe impairment, self-harm concerns, memory gaps, or other clinical needs appear",Whenever emotion appears,When family disagrees,B,Safety and significant clinical concerns require qualified professional care.
The main goal of values coaching is to:,Make the client adopt the coach's values,"Create clearer, responsible, values-aligned choices",Eliminate every conflict,Produce constant happiness,B,"The coach supports clarity, ownership, and behavior consistent with what the client consciously values."
