question,option_a,option_b,option_c,option_d,correct_answer,explanation
What is a story in this lesson?,A deliberate lie,Meaning organized around an event,A clinical diagnosis,An emotion,B,"A story is the interpretation or conclusion attached to an event; it may be accurate, incomplete, or inaccurate."
Which statement is closest to an observable fact?,My manager wants me to fail,No one respects me,My manager did not reply to two emails this week,I am invisible,C,A neutral observer or email record could confirm the lack of replies.
What is the correct order of the Story Map?,"Story, advice, action, score","Trigger, story, response, result","Emotion, diagnosis, treatment, result","Goal, reward, punishment, success",B,"The map tracks the event, meaning, emotional/behavioral response, and resulting outcome."
Why explore the function of a protective pattern?,To excuse all impact,To diagnose the client,To understand the safety or relief it tries to create,To eliminate it immediately,C,Understanding function lowers shame and supports more informed choice.
Which question best separates evidence from meaning?,Why are you irrational?,"What happened, and what did you make it mean?",Who is to blame?,Why do you always do this?,B,The question distinguishes observable events from interpretation without shaming.
Self-validation means:,Every assumption is true,The feeling and need can make sense even when the story is unproven,Other people must agree,The client should avoid discomfort,B,Validation honors experience without certifying an interpretation.
A useful reframe should:,Erase difficult feelings,Sound extremely positive,Fit the evidence and restore agency,Be chosen by the coach,C,"A strong reframe is complete, believable, evidence-based, and client-owned."
What makes a belief experiment ethical?,It guarantees success,"It is small, responsible, client-owned, and gathers information",It forces exposure,It proves the coach right,B,Experiments should create useful evidence without coercion or overwhelm.
"A client says, 'I am a failure' after one mistake. What should the coach do?",Agree to motivate change,Separate the behavior from the identity verdict,Offer a diagnosis,Promise it will never happen again,B,Specific behavior can be understood and repaired; global identity shame blocks learning.
When should ordinary coaching pause?,When a client dislikes uncertainty,When a client wants career clarity,"When severe distress, danger, or impairment requires licensed care",Whenever emotion appears,C,Serious safety or clinical needs require appropriate professional support.
What is wrong with forced positive thinking?,It is always too slow,It can bypass facts and emotional truth,It gives clients too much choice,It includes evidence,B,A cheerful replacement story can invalidate the client and remain as rigid as the original.
What is the main goal of coaching a story?,Prove the client wrong,Find the hidden diagnosis,"Restore awareness, choice, and values-aligned action",Remove all uncertainty,C,The coach helps widen information and return responsible choice to the client.
