scene,title,visual_type,source,sha256
1,Practicing Courage in Real Life,unique cinematic photograph,scene_01.png,8fb460e424fa96613541c7db032217b4b8f18cc9cbf5e9abb252e171141a09b5
2,Your learning journey,unique cinematic photograph,scene_02.png,137b432d1d09b2c4014d08cbd1effd75b7b888874772d8efa3399c70716a8d83
3,Courage is values-aligned action under uncertainty,unique cinematic photograph,scene_03.png,b1c398f9f08bfa84e65bc3f1a8acad807e44f3457bbd16daa5a761e62fe554e6
4,Fear does not disqualify courage,unique cinematic photograph,scene_04.png,a4fa9c8584ac5a90ce3abab86a88ccba14eba6a89d54cc12d9768b73a82910ec
5,Checkpoint 1 · Courage or pressure?,unique cinematic photograph,scene_05.png,8f9239fbc45b25154c81ded9ae5ef028f6b3a917c4d4d7cb3426acf8520b7a05
6,Comfort and integrity are not the same,unique cinematic photograph,scene_06.png,5effae1959d5cbf373c065e8968abc9f87de9203a9648b92992a0faa256a8ee1
7,Use the Courage Decision Map,unique cinematic photograph,scene_07.png,f7cf9fc1a39a92259081165c67607273ef19358781d23ae72d6b3aa7fd9f70f2
8,Separate possibility from probability,unique cinematic photograph,scene_08.png,22db432b570cf4ecedd1b3bd9446a93a3a9251b240af85612cdecfb271d01169
9,Locate the controllable part,unique cinematic photograph,scene_09.png,2d77e329b5996e164cb0d07e3fd8703aeeb436a0cbd6526a9a479ee740f5df58
10,"Build a courage range, not one heroic leap",unique cinematic photograph,scene_10.png,19d740671451b48d5dab0b5797059395ba6d6c7fc6082ee422a26355b23c70eb
11,Checkpoint 2 · Choose proportion,unique cinematic photograph,scene_11.png,9b386e738dda8e1769d55ba0e8ebaab297456f0e878234f9ee0cfadedd9bcbc3
12,A courageous request has four parts,unique cinematic photograph,scene_12.png,46a08c9ad1fcfaac173a031ebb1215e8c70bd8d1693ec932af8b341239b8d52a
13,Observation is not accusation,unique cinematic photograph,scene_13.png,5ba4066ff928fb6d5b11c9bea307d7e5904e3e880ab82eff51040f2adf26252b
14,Name impact without assigning motive,unique cinematic photograph,scene_14.png,267d34e096283d9ca687c9591826aff3c32bc2b78c284bce907558682f41d00d
