question,option_a,option_b,option_c,option_d,correct_answer,explanation
Which definition best fits courage in this lesson?,Feeling no fear,"Values-aligned, chosen action while uncertainty remains",Taking the largest available risk,Doing what the coach recommends,B,"Courage includes meaning, uncertainty, choice, and considered risk."
Why should a coach distinguish possibility from probability?,To guarantee success,To create a fuller evidence-based view without dismissing risk,To persuade the client to act,To diagnose anxiety,B,The distinction prevents a feared possibility from becoming an assumed certainty.
What is the correct Courage Decision Map sequence?,"Value, fear, choice, support, action","Problem, diagnosis, treatment, cure, discharge","Fear, pressure, confession, reward, certainty","Advice, action, praise, dependence, outcome",A,"The map connects meaning and fear to options, support, and client-owned action."
A courage range is useful because it:,Forces the stretch action,Offers graduated choices based on readiness and consequence,Eliminates discomfort,Replaces referral,B,"Small, moderate, and stretch options make courage proportionate and repeatable."
Which four parts strengthen a courageous request?,"Observation, impact, value or need, request","Accusation, motive, demand, threat","History, diagnosis, advice, compliance","Emotion, certainty, pressure, reward",A,The structure creates a shared factual starting point and a specific request.
Which statement is a client-owned boundary?,You must never criticize me,"If insults begin, I will pause the conversation",You need to understand,You are required to agree,B,The client names an action within her own control.
Why is asking for support a courage practice?,It proves helplessness,It allows capability and interdependence to coexist,It transfers responsibility,It guarantees belonging,B,Clear support requests can make responsible action sustainable without erasing agency.
How should a coach respond to a request for certainty about another person's reaction?,Promise a good response,Name uncertainty and prepare what the client controls,Tell the client to avoid action,Predict the response,B,A coach cannot guarantee another person's behavior.
How should success be reviewed after a courage experiment?,Only by the external outcome,"By participation, response evidence, impact, and learning",By whether fear disappeared,By whether the coach was right,B,Courage creates evidence even when the answer is disappointing.
What does repair require?,Forcing forgiveness,Owning relevant impact and behavior without controlling the response,Proving good intention,Avoiding the topic,B,"Repair offers accountability and invitation, not control."
"When credible violence or coercive control is present, the coach should:",Assign confrontation,Prioritize safety and appropriate specialized resources,Call the fear armor,Promise secrecy without limits,B,Safety and qualified support outrank an ordinary courage assignment.
What is the coach's role in courage practice?,Choose the client's risk,"Support clarity, proportion, preparation, agency, and review",Create dramatic breakthroughs,Guarantee the outcome,B,The coach protects the process while the client owns meaning and action.
